domain	rule_type	scope	status	source	evidence	risk	notes
appsflayer.com	HOST-SUFFIX	shared	historical	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/QuantumultX/Binance/Binance.list	Older community entry is absent from current v2fly and MetaCubeX data	high	Possible misspelling; excluded
binance.cc	HOST-SUFFIX	unknown	needs-review	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Current upstream entry lacks sufficient current official App evidence	medium	Not approved
binance.charity	HOST-SUFFIX	ecosystem	optional	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Current v2fly and MetaCubeX ecosystem entry	low	Optional ecosystem resource
binance.cloud	HOST-SUFFIX	main	confirmed	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/QuantumultX/Binance/Binance.list	Current blackmatrix7 v2fly and MetaCubeX entry	low	Approved core backup root
binance.co	HOST-SUFFIX	unknown	needs-review	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Current upstream entry lacks sufficient current official App evidence	medium	Not approved
binance.com	HOST-SUFFIX	main	confirmed	https://www.binance.com	Binance official website and official API hosts use this root	low	Approved core root
binance.info	HOST-SUFFIX	historical	needs-review	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Current upstream entry lacks sufficient current global App evidence	medium	Not approved
binance.me	HOST-SUFFIX	main	confirmed	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/QuantumultX/Binance/Binance.list	Current blackmatrix7 v2fly and MetaCubeX entry	low	Approved core backup root
binance.net	HOST-SUFFIX	unknown	needs-review	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Current upstream entry lacks sufficient current official App evidence	medium	Not approved
binance.org	HOST-SUFFIX	ecosystem	optional	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Current v2fly and MetaCubeX ecosystem entry	low	Optional ecosystem resource
binance.us	HOST-SUFFIX	regional	optional	https://www.binance.us	Official independent regional service and current upstream entry	low	Kept out of the global main rule
binance.vision	HOST-SUFFIX	main	confirmed	https://developers.binance.com/en/docs/products/spot/rest-api	Binance documentation uses data-api.binance.vision for public market data	low	Approved core market-data root
binanceapi.com	HOST-SUFFIX	main	confirmed	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Current v2fly and MetaCubeX API entry	low	Approved dedicated API root
binancecnt.com	HOST-SUFFIX	main	confirmed	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/QuantumultX/Binance/Binance.list	Current blackmatrix7 v2fly and MetaCubeX entry	low	Approved core root
binancefuture.com	HOST-SUFFIX	historical	historical	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/QuantumultX/Binance/Binance.list	Community-only entry is absent from current v2fly and MetaCubeX data	high	Excluded pending current evidence
binanceru.net	HOST-SUFFIX	historical	historical	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Current upstream retains an apparent historical or regional entry	high	Excluded
binancezh.be	HOST-SUFFIX	historical	historical	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Historical mirror family retained in current upstream	high	Excluded from formal rules
binancezh.biz	HOST-SUFFIX	historical	historical	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Historical mirror family retained in current upstream	high	Excluded from formal rules
binancezh.cc	HOST-SUFFIX	historical	historical	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Historical mirror family retained in current upstream	high	Excluded from formal rules
binancezh.co	HOST-SUFFIX	historical	historical	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Historical mirror family retained in current upstream	high	Excluded from formal rules
binancezh.com	HOST-SUFFIX	historical	historical	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Historical mirror family retained in current upstream	high	Excluded from formal rules
binancezh.info	HOST-SUFFIX	historical	historical	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Historical mirror family retained in current upstream	high	Excluded from formal rules
binancezh.ink	HOST-SUFFIX	historical	historical	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Historical mirror family retained in current upstream	high	Excluded from formal rules
binancezh.kim	HOST-SUFFIX	historical	historical	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Historical mirror family retained in current upstream	high	Excluded from formal rules
binancezh.link	HOST-SUFFIX	historical	historical	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Historical mirror family retained in current upstream	high	Excluded from formal rules
binancezh.live	HOST-SUFFIX	historical	historical	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Historical mirror family retained in current upstream	high	Excluded from formal rules
binancezh.mobi	HOST-SUFFIX	historical	historical	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Historical mirror family retained in current upstream	high	Excluded from formal rules
binancezh.net	HOST-SUFFIX	historical	historical	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Historical mirror family retained in current upstream	high	Excluded from formal rules
binancezh.pro	HOST-SUFFIX	historical	historical	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Historical mirror family retained in current upstream	high	Excluded from formal rules
binancezh.sh	HOST-SUFFIX	historical	historical	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Historical mirror family retained in current upstream	high	Excluded from formal rules
binancezh.top	HOST-SUFFIX	historical	historical	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Historical mirror family retained in current upstream	high	Excluded from formal rules
bmwweb.solutions	HOST-SUFFIX	unknown	needs-review	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Opaque current upstream entry lacks official confirmation	medium	Not approved
bnappweb.black	HOST-SUFFIX	unknown	needs-review	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Opaque current upstream entry lacks official confirmation	medium	Not approved
bnbchain.org	HOST-SUFFIX	ecosystem	optional	https://www.bnbchain.org	BNB Chain public service and current upstream entry	low	Optional ecosystem resource
bnbstatic.com	HOST-SUFFIX	main	confirmed	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/QuantumultX/Binance/Binance.list	Current blackmatrix7 v2fly and MetaCubeX static-resource entry	low	Approved core static root
bntrace.com	HOST-SUFFIX	main	confirmed	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/QuantumultX/Binance/Binance.list	Current blackmatrix7 v2fly and MetaCubeX dedicated entry	low	Approved core service root
bsappapi.cc	HOST-SUFFIX	main	confirmed	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Current v2fly and MetaCubeX dedicated App API entry	low	Approved
bsappapi.com	HOST-SUFFIX	main	confirmed	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Current v2fly and MetaCubeX dedicated App API entry	low	Approved
bscdnweb.com	HOST-SUFFIX	main	confirmed	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Current v2fly and MetaCubeX dedicated web-resource entry	low	Approved
nftstatic.com	HOST-SUFFIX	ecosystem	optional	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Current v2fly and MetaCubeX Binance NFT static entry	medium	Optional ecosystem resource
saasexch.cc	HOST-SUFFIX	shared	needs-review	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Possible exchange SaaS infrastructure is not confirmed Binance-exclusive	high	Excluded
saasexch.co	HOST-SUFFIX	shared	needs-review	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Possible exchange SaaS infrastructure is not confirmed Binance-exclusive	high	Excluded
saasexch.com	HOST-SUFFIX	shared	needs-review	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Possible exchange SaaS infrastructure is not confirmed Binance-exclusive	high	Excluded
saasexch.info	HOST-SUFFIX	shared	needs-review	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Possible exchange SaaS infrastructure is not confirmed Binance-exclusive	high	Excluded
saasexch.io	HOST-SUFFIX	shared	needs-review	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Possible exchange SaaS infrastructure is not confirmed Binance-exclusive	high	Excluded
zftksc.cdn-settings.appsflyersdk.com	HOST	main	confirmed	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Current v2fly and MetaCubeX use an exact Binance-specific AppsFlyer host	medium	Exact HOST only
zftksc.launches.appsflyersdk.com	HOST	main	confirmed	https://raw.githubusercontent.com/v2fly/domain-list-community/master/data/binance	Current v2fly and MetaCubeX use an exact Binance-specific AppsFlyer host	medium	Exact HOST only
