domain	rule_type	scope	status	source	evidence	risk	notes
accounts.google.com	HOST	shared	excluded	https://www.clubsim.com.hk/en/app.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
accounts.theclub.com.hk	HOST	shared	excluded	https://www.clubsim.com.hk/en/app.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
api.qrserver.com	HOST	shared	excluded	https://www.clubsim.com.hk/en/app.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
api.whatsapp.com	HOST	shared	excluded	https://www.clubsim.com.hk/en/login	Referenced by a Club Sim official public page.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
appgallery.huawei.com	HOST	shared	excluded	https://www.clubsim.com.hk/en/app.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
appleid.cdn-apple.com	HOST	shared	excluded	https://www.clubsim.com.hk/en/login	Referenced by a Club Sim official public page.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
apps.apple.com	HOST	shared	excluded	https://www.clubsim.com.hk/en/login	Referenced by a Club Sim official public page.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
bat.bing.com	HOST	shared	excluded	https://www.clubsim.com.hk/en/login	Referenced by a Club Sim official public page.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
bit.ly	HOST	shared	excluded	https://www.clubsim.com.hk/en/app.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
ccss.cahk.hk	HOST	shared	excluded	https://www.clubsim.com.hk/en/app.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
clubsim.com.hk	HOST-SUFFIX	prepaid-app	confirmed	https://www.clubsim.com.hk/	Referenced by a Club Sim official public page.	low	Official Club Sim root; covers relative web and API paths.
clubsim.page.link	HOST	prepaid-app	confirmed	https://www.clubsim.com.hk/en/app.js	Referenced by a Club Sim official public script.	low	Dedicated Club Sim dynamic-link hostname; the page.link root is excluded.
connect.facebook.net	HOST	shared	excluded	https://www.clubsim.com.hk/en/login	Referenced by a Club Sim official public page.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
corpmail.pccw.com	HOST	shared	excluded	https://www.clubsim.com.hk/clsecomm/static/js/main.b92e0cbd.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
cs.nxtomo.com	HOST	shared	excluded	https://www.clubsim.com.hk/static/js/main.b2f95a91.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
csl.prod.ondemandconnectivity.com	HOST	network	optional	https://raw.githubusercontent.com/ClearLuv/iOS_collecton/main/Rule/ClubSim.list	Current public ClubSim network rule.	medium	Optional eSIM, ePDG or operator network service; not an App API.
epdg.epc.mnc000.mcc454.pub.3gppnetwork.org	HOST	network	optional	https://raw.githubusercontent.com/ClearLuv/iOS_collecton/main/Rule/ClubSim.list	Current public ClubSim network rule.	medium	Optional eSIM, ePDG or operator network service; not an App API.
facebook.github.io	HOST	shared	excluded	https://www.clubsim.com.hk/clsecomm/static/js/main.b92e0cbd.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
fb.me	HOST	shared	excluded	https://www.clubsim.com.hk/clsecomm/static/js/main.b92e0cbd.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
fengyuanchen.github.io	HOST	shared	excluded	https://www.clubsim.com.hk/en/app.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
feross.org	HOST	shared	excluded	https://www.clubsim.com.hk/en/app.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
fonts.googleapis.com	HOST	shared	excluded	https://www.clubsim.com.hk/en/login	Referenced by a Club Sim official public page.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
getsupport.apple.com	HOST	shared	excluded	https://www.clubsim.com.hk/static/js/main.b2f95a91.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
gift.bfb.nxtomogames.com	HOST	shared	excluded	https://www.clubsim.com.hk/static/js/main.b2f95a91.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
github.com	HOST	shared	excluded	https://www.clubsim.com.hk/clsecomm/static/js/main.b92e0cbd.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
goo.gl	HOST	shared	excluded	https://www.clubsim.com.hk/clsecomm/static/js/main.b92e0cbd.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
hammerjs.github.io	HOST	shared	excluded	https://www.clubsim.com.hk/en/app.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
hhk.prod.ondemandconnectivity.com	HOST	network	optional	https://raw.githubusercontent.com/ClearLuv/iOS_collecton/main/Rule/ClubSim.list	Current public ClubSim network rule.	medium	Optional eSIM, ePDG or operator network service; not an App API.
itunes.apple.com	HOST	shared	excluded	https://www.clubsim.com.hk/clsecomm/static/js/main.b92e0cbd.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
momentjs.com	HOST	shared	excluded	https://www.clubsim.com.hk/en/app.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
onelink.to	HOST	shared	excluded	https://www.clubsim.com.hk/en/quick-start	Referenced by a Club Sim official public page.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
pccw-ww1.valueplatforms.com	HOST	shared	excluded	https://www.clubsim.com.hk/clsecomm/static/js/main.b92e0cbd.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
play.google.com	HOST	shared	excluded	https://www.clubsim.com.hk/en/login	Referenced by a Club Sim official public page.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
project2.digitpepper.com	HOST	shared	excluded	https://www.clubsim.com.hk/clsecomm/static/js/main.b92e0cbd.js	Referenced by a Club Sim official public script.	high	Shared identity, analytics, platform, telecom-group or infrastructure host.
