domain	rule_type	scope	status	source	evidence	risk	notes
ablinksemail.wirexapp.com	HOST	analytics	excluded	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/QuantumultX/Privacy/Privacy.list	A current privacy list classifies this first-party-branded host as email tracking.	medium	Not approved as a separate core rule; the broader first-party root can still match this Wirex subdomain.
alchemy.com	HOST-SUFFIX	blockchain	excluded	https://one.wirexapp.com/	Public Wirex One bundles contain shared RPC provider strings.	high	A bundled default chain registry does not prove an active request or dedicated Wirex service.
api-baas.wirexapp.com	HOST	wirex-shared-core	confirmed	https://one.wirexapp.com/	Public Wirex One application bundles reference this production Wirex API host.	low	Covered by HOST-SUFFIX wirexapp.com; the BaaS endpoint can also support other Wirex products.
api-help.wirexapp.com	HOST	support	needs-review	https://help.wirexapp.com/	Current public help configuration references this first-party host.	medium	Shared help evidence does not prove direct Wirex One mobile runtime use; the parent already covers it.
api-site.wirexapp.com	HOST	support	needs-review	https://help.wirexapp.com/	Current public help configuration references this first-party host.	medium	Shared help evidence does not prove direct Wirex One mobile runtime use; the parent already covers it.
api.wirexapp.com	HOST	wirex-shared-core	needs-review	https://help.wirexapp.com/	Current public help configuration references this general Wirex API host.	medium	Not claimed as Wirex One-exclusive; the approved parent already covers it.
apps.apple.com	HOST-SUFFIX	shared-third-party	excluded	https://apps.apple.com/us/app/wirex-one/id6762381032	Official iOS listing host for Wirex One.	high	Shared App Store infrastructure is not a Wirex service root.
arbiscan.io	HOST-SUFFIX	blockchain	excluded	https://one.wirexapp.com/	Public Wirex One bundles contain a shared block-explorer string.	high	Public explorer infrastructure is not Wirex-specific.
arc.network	HOST-SUFFIX	blockchain	excluded	https://play.google.com/store/apps/details	The official Android listing describes Wirex One as built on Circle Arc.	high	Shared blockchain infrastructure; no Wirex-only host was confirmed.
auth.privy.io	HOST	identity	excluded	https://one.wirexapp.com/	Public Wirex One bundles contain the shared Privy authentication endpoint.	high	Third-party host is not a dedicated Wirex tenant and its parent is excluded.
basescan.org	HOST-SUFFIX	blockchain	excluded	https://one.wirexapp.com/	Public Wirex One bundles contain a shared block-explorer string.	high	Public explorer infrastructure is not Wirex-specific.
blastapi.io	HOST-SUFFIX	blockchain	excluded	https://one.wirexapp.com/	Public Wirex One bundles contain shared RPC provider strings.	high	A bundled default chain registry does not prove an active request or dedicated Wirex service.
cdn.wirexapp.com	HOST	wirexone-core	confirmed	https://one.wirexapp.com/	Public Wirex One application bundles reference this first-party asset host.	low	Covered by HOST-SUFFIX wirexapp.com and therefore not emitted separately.
circle.com	HOST-SUFFIX	shared-third-party	excluded	https://play.google.com/store/apps/details	The official Android listing identifies Circle technology.	high	Shared provider root is outside the low-misrouting main scope.
cloudflare-eth.com	HOST-SUFFIX	blockchain	excluded	https://one.wirexapp.com/	Public Wirex One bundles contain a shared Ethereum gateway string.	high	Public RPC infrastructure is not Wirex-specific.
coinbase.com	HOST-SUFFIX	shared-third-party	excluded	https://one.wirexapp.com/	Public Wirex One bundles contain shared wallet or payment provider strings.	high	Provider-wide traffic must not be assigned to Wirex One.
docs.wirexapp.com	HOST	wirex-shared-core	confirmed	https://docs.wirexapp.com/docs/introduction	Current Wirex developer documentation host.	low	Covered by HOST-SUFFIX wirexapp.com and therefore not emitted separately.
docs.wirexpaychain.com	HOST	blockchain	needs-review	https://partner.wirexpaychain.com/	Wirex Pay Chain documentation belongs to a separate Wirex ecosystem.	medium	No Wirex One consumer-app dependency was confirmed.
drpc.org	HOST-SUFFIX	blockchain	excluded	https://one.wirexapp.com/	Public Wirex One bundles contain shared RPC provider strings.	high	A bundled default chain registry does not prove an active request or dedicated Wirex service.
email-test.wirexapp.com	HOST	analytics	excluded	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/QuantumultX/Privacy/Privacy.list	A current privacy list classifies this first-party-branded host as email tracking.	medium	Not approved as a separate core rule; the broader first-party root can still match this Wirex subdomain.
email.wirexapp.com	HOST	analytics	excluded	https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/QuantumultX/Privacy/Privacy.list	A current privacy list classifies this first-party-branded host as email tracking.	medium	Not approved as a separate core rule; the broader first-party root can still match this Wirex subdomain.
etherscan.io	HOST-SUFFIX	blockchain	excluded	https://one.wirexapp.com/	Public Wirex One bundles contain a shared block-explorer string.	high	Public explorer infrastructure is not Wirex-specific.
freshdesk.com	HOST-SUFFIX	shared-third-party	excluded	https://www.wirexapp.com/	The official Wirex site links a dedicated Wirex One Freshdesk tenant.	high	The platform root serves unrelated customers and is excluded.
freshworks.com	HOST-SUFFIX	shared-third-party	excluded	https://wirexone.freshdesk.com/support/solutions/76000005022	The Wirex One help portal identifies Freshdesk as its software provider.	high	Shared vendor root is excluded.
help.wirexapp.com	HOST	support	confirmed	https://help.wirexapp.com/article/wirex-one-upgrade-faq-1685	Official Wirex help page for moving to Wirex One.	low	Covered by HOST-SUFFIX wirexapp.com and therefore not emitted separately.
id.wirexapp.com	HOST	identity	needs-review	https://help.wirexapp.com/	Current public help configuration references this first-party identity host.	medium	Shared or migration evidence only; the parent already covers it.
img.wirexapp.com	HOST	wirex-shared-core	confirmed	https://help.wirexapp.com/	Official Wirex help center loads first-party image resources from this host.	low	Covered by HOST-SUFFIX wirexapp.com and therefore not emitted separately.
infura.io	HOST-SUFFIX	blockchain	excluded	https://one.wirexapp.com/	Public Wirex One bundles contain shared RPC provider strings.	high	A bundled default chain registry does not prove an active request or dedicated Wirex service.
links.wirexapp.com	HOST	support	needs-review	https://help.wirexapp.com/	Current public help configuration references this first-party link host.	medium	It can redirect to Branch infrastructure and is not treated as a separate core rule.
mastercard.com	HOST-SUFFIX	card	excluded	https://www.wirexapp.com/legal/one/terms	Wirex One terms describe card-scheme interoperability.	high	Shared card-scheme root must remain outside an app-specific rule.
moonpay.com	HOST-SUFFIX	shared-third-party	excluded	https://one.wirexapp.com/	Public Wirex One bundles contain a shared payment provider string.	high	Provider-wide traffic must not be assigned to Wirex One.
mzstatic.com	HOST-SUFFIX	shared-third-party	excluded	https://apps.apple.com/us/app/wirex-one/id6762381032	Apple serves shared listing assets from its static infrastructure.	high	Shared Apple static root is excluded.
one.wirexapp.com	HOST	wirexone-core	confirmed	https://one.wirexapp.com/	Public Wirex One web application entry point.	low	Covered by HOST-SUFFIX wirexapp.com and therefore not emitted separately.
play.google.com	HOST	shared-third-party	excluded	https://play.google.com/store/apps/details	Official Android listing host for package com.wirexapp.one.	high	Shared store host is not a Wirex service host.
polygonscan.com	HOST-SUFFIX	blockchain	excluded	https://one.wirexapp.com/	Public Wirex One bundles contain a shared block-explorer string.	high	Public explorer infrastructure is not Wirex-specific.
privy.io	HOST-SUFFIX	identity	excluded	https://www.wirexapp.com/legal/one/terms	Wirex One terms name Privy as third-party key-management infrastructure.	high	Shared identity and wallet infrastructure is excluded.
privy.systems	HOST-SUFFIX	identity	excluded	https://one.wirexapp.com/	Public Wirex One bundles contain shared Privy RPC strings.	high	Shared wallet infrastructure is not a dedicated Wirex tenant.
publicnode.com	HOST-SUFFIX	blockchain	excluded	https://one.wirexapp.com/	Public Wirex One bundles contain shared RPC provider strings.	high	A bundled default chain registry does not prove an active request or dedicated Wirex service.
resourses.wirexapp.com	HOST	wirexone-core	confirmed	https://one.wirexapp.com/	Public Wirex One application bundles reference this first-party static-resource host.	low	The observed spelling is preserved; the parent suffix already covers it.
s3.eu-central-1.amazonaws.com	HOST	shared-third-party	excluded	https://wirexone.freshdesk.com/support/solutions/76000005022	The public Wirex One help portal references an object on this shared host.	high	No dedicated Wirex hostname was observed.
solana.com	HOST-SUFFIX	blockchain	excluded	https://one.wirexapp.com/	Public Wirex One bundles contain shared network or RPC strings.	high	Public blockchain infrastructure is not Wirex-specific.
static.wixstatic.com	HOST	shared-third-party	excluded	https://www.wirexapp.com/	The official marketing website loads assets from this shared host.	high	Shared website-builder CDN is excluded.
status.wirexapp.com	HOST	status	confirmed	https://status.wirexapp.com/	Official Wirex status page covers applications login cards transfers wallet and Borrow.	low	Covered by HOST-SUFFIX wirexapp.com and therefore not emitted separately.
sumsub.com	HOST-SUFFIX	identity	excluded	https://docs.wirexapp.com/docs/kyc-hosted	Wirex documentation describes SumSub-hosted identity verification.	high	Shared KYC platform root is excluded.
trongrid.io	HOST-SUFFIX	blockchain	excluded	https://one.wirexapp.com/	Public Wirex One bundles contain shared RPC provider strings.	high	A bundled default chain registry does not prove an active request or dedicated Wirex service.
verify.sumsub.com	HOST	identity	excluded	https://docs.wirexapp.com/docs/kyc-hosted	Wirex documentation shows the generic hosted verification service.	high	No Wirex-only tenant hostname was confirmed.
visa.com	HOST-SUFFIX	card	excluded	https://www.wirexapp.com/legal/one/terms	Wirex One terms describe card-scheme interoperability.	high	Shared card-scheme root must remain outside an app-specific rule.
walletconnect.com	HOST-SUFFIX	wallet	excluded	https://www.wirexapp.com/legal/one/terms	Public wallet interoperability is a possible shared dependency category.	high	No dedicated Wirex One host was confirmed and the shared root is prohibited.
wirex.app.link	HOST	classic-wirex	needs-review	https://help.wirexapp.com/	Wirex public help configuration references a brand-specific Branch deep-link host.	medium	No evidence establishes it as required Wirex One core traffic.
wirex.com	HOST-SUFFIX	unknown	excluded	https://www.wirexapp.com/legal/one/terms	A contact address on the terms page uses this string but the public root resolves to an unrelated real-estate exchange.	high	Ownership conflict and no Wirex One network endpoint; do not include.
wirex.io	HOST-SUFFIX	unknown	excluded	https://www.wirexapp.com/legal/one/terms	No current Wirex One official source supports this brand-similar root.	high	Name similarity is not ownership or runtime evidence.
