domain	rule_type	scope	status	source	evidence	risk	notes
1inch.io	HOST-SUFFIX	exchange	excluded	https://docs.coca.xyz/	Official COCA documentation describes shared exchange and routing functionality.	high	A public protocol or provider root must not enter the app-specific rule.
amplitude.com	HOST-SUFFIX	analytics	excluded	https://github.com/PakandAlive/Folder/blob/f00098f1746961916b8c23bfe5fd2e100b3a2901/rules/COCA.list	A public personal rule lists shared Amplitude telemetry alongside COCA hosts.	high	Low-authority observation only; shared analytics is excluded.
api-baas.wirexapp.com	HOST	wirex-shared	needs-review	https://www.wirexapp.com/post/from-wallet-to-full-onchain-banking-in-just-weeks-wirex-x-coca-case-study	Wirex officially states that COCA uses its BaaS platform; Wirex documentation identifies this as the production BaaS host.	high	The endpoint is multi-tenant Wirex infrastructure and is not proven COCA dedicated.
api-prod.coca.xyz	HOST	coca-core	confirmed	https://github.com/PakandAlive/Folder/blob/f00098f1746961916b8c23bfe5fd2e100b3a2901/rules/COCA.list	A public personal rule set observes this COCA-branded API host.	medium	Covered by HOST-SUFFIX coca.xyz; public upstream observation is not needed as a separate rule.
api.gitbook.com	HOST	shared-third-party	excluded	https://docs.coca.xyz/	The official COCA documentation page loads the shared GitBook API.	high	Shared documentation infrastructure must not be assigned to COCA.
apps.apple.com	HOST	shared-third-party	excluded	https://apps.apple.com/us/app/coca-crypto-card-wallet/id1594165139	The official iOS listing identifies COCA and CCA LABS - FZCO.	high	The App Store host is shared by every application.
b2b-card-security.wirexapp.com	HOST	wirex-shared	needs-review	https://github.com/PakandAlive/Folder/blob/f00098f1746961916b8c23bfe5fd2e100b3a2901/rules/COCA.list	An active personal rule lists this host for COCA but also lists it for Ether.fi.	high	Cross-app reuse is evidence that it is Wirex B2B shared infrastructure rather than COCA dedicated.
braze.com	HOST-SUFFIX	analytics	excluded	https://github.com/PakandAlive/Folder/blob/f00098f1746961916b8c23bfe5fd2e100b3a2901/rules/COCA.list	A public personal rule lists shared Braze messaging hosts for COCA.	high	Shared engagement and telemetry infrastructure is excluded.
browser.sentry-cdn.com	HOST	analytics	excluded	https://www.coca.xyz/	The official marketing site loads a shared Sentry browser bundle.	high	Shared error-reporting infrastructure is excluded.
cdnjs.cloudflare.com	HOST	shared-third-party	excluded	https://status.coca.xyz/	The public COCA status page loads a library from this shared CDN host.	high	A shared CDN host is not a COCA service endpoint.
coca-cola.com	HOST-SUFFIX	unknown	excluded	https://www.coca-cola.com/us/en	The official Coca-Cola beverage website uses this root.	high	Unrelated beverage brand and a high-risk name collision.
coca-colacompany.com	HOST-SUFFIX	unknown	excluded	https://www.coca-colacompany.com/	The Coca-Cola corporate site uses this root.	high	Unrelated corporate brand and a high-risk name collision.
coca.com	HOST-SUFFIX	unknown	excluded	https://coca.com/	The public site identifies Coca Holding International rather than COCA Wallet.	high	Homonymous but unrelated root; it must not enter the wallet rule.
coca.xyz	HOST-SUFFIX	coca-core	confirmed	https://www.coca.xyz/terms	COCA Wallet terms identify coca.xyz as the official site and CCA Labs as provider.	low	Approved formal first-party root.
discord.com	HOST-SUFFIX	shared-third-party	excluded	https://www.coca.xyz/	The official website links a public COCA community on Discord.	high	The shared social root serves unrelated users and applications.
